"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_09_v3-163813-164052-1A",0.440348948972274,0.502317068288136,0.549318791526684,0.499519944136386
"Pf3D7_09_v3-164045-164311-1A",0.356928776553502,0.450457975329082,0.545255795553791,0.449665023190692
"Pf3D7_09_v3-202854-203106-1A",0.662814626087077,0.683597974177412,0.70576251886065,0.68398877538224
"Pf3D7_09_v3-270915-271160-1A",0.361060153922903,0.459114051066303,0.552543812277055,0.458245118977033
"Pf3D7_09_v3-516735-517007-1A",0.362128052179893,0.430766156840781,0.478798999334731,0.427361931669178
"Pf3D7_09_v3-595828-596094-1A",0.769843812727019,0.811684525936728,0.840863641211494,0.810055418451793
"Pf3D7_09_v3-685560-685825-1A",0.311232757080029,0.416358018094698,0.492518634302739,0.411222225937941
"Pf3D7_09_v3-82006-82236-1A",0.810719920719383,0.838148765420286,0.860060712912642,0.837607791973286
"Pf3D7_10_v3-1386657-1386909-1A",0.484957877020688,0.568760444336225,0.63689741630832,0.566821319193536
"Pf3D7_10_v3-1392371-1392620-1A",0.244708714412752,0.332355521817936,0.411208039274175,0.332402506260726
"Pf3D7_10_v3-1414337-1414596-1A",0.615762573594766,0.673566645858442,0.718307817776388,0.67163239066989
"Pf3D7_10_v3-1414599-1414832-1A",0.0849026958822631,0.154972490150406,0.240901520344749,0.15738602760249
"Pf3D7_10_v3-992331-992603-1A",0.586017898834406,0.635547682772843,0.665227432097783,0.632511407002675
"Pf3D7_10_v3-992596-992869-1A",0.098427837203771,0.170554892996634,0.264285402620275,0.173216860699065
"Pf3D7_11_v3-1006693-1006917-1A",0.54975302655687,0.588978188958837,0.625442574235287,0.588813007387934
"Pf3D7_11_v3-1018781-1019053-1A",0.366079497170169,0.454581098806474,0.538650533000389,0.45367838278463
"Pf3D7_11_v3-1019050-1019319-1A",0.11897829852106,0.204600640423726,0.306377305694078,0.206253851911091
"Pf3D7_11_v3-1127074-1127316-1A",0.467583380723788,0.510328205760646,0.541903918801905,0.509510979391856
"Pf3D7_11_v3-115913-116184-1A",0.529710301438218,0.612444476737164,0.680931931364072,0.611014235220863
"Pf3D7_11_v3-119432-119705-1A",0.573159076448507,0.623194210816222,0.674225204906639,0.623593170433073
"Pf3D7_11_v3-1293919-1294168-1A",0.824287766320219,0.853504563185208,0.870700085447683,0.851517844574777
"Pf3D7_11_v3-1294664-1294910-1A",0.672406344962602,0.74816780737155,0.805183390177905,0.74513554354605
"Pf3D7_11_v3-1295103-1295335-1A",0.687693418869487,0.736764132941952,0.774877744233408,0.735352310387957
"Pf3D7_11_v3-1295371-1295597-1A",0.113411584762387,0.185461260513896,0.271882349779036,0.186589976108756
"Pf3D7_11_v3-1375807-1376056-1A",0.148757107235961,0.230022597775505,0.317658877282601,0.231197522179305
"Pf3D7_11_v3-1376058-1376305-1A",0.0433776070888871,0.093362039293334,0.169598303650034,0.0978177715847737
"Pf3D7_11_v3-1816152-1816378-1A",0.674623656274557,0.711447882731445,0.743705568847348,0.711082543977183
"Pf3D7_11_v3-1934962-1935236-1A",0.410792895961693,0.467588941091941,0.496498324890256,0.463839757616207
"Pf3D7_11_v3-408285-408534-1A",0.242016342875034,0.32647914349964,0.423874892143738,0.328302281032061
"Pf3D7_11_v3-408543-408771-1A",0.504935367751014,0.529849624514632,0.565986708886231,0.531564735158004
"Pf3D7_11_v3-497277-497548-1A",0.507297017169624,0.541391452614453,0.576871457573355,0.542250486794401
"Pf3D7_12_v3-1959644-1959891-1A",0.555604354967265,0.60082305882277,0.641619833470791,0.600603504086012
